"species","habitat"
"Diapterus rhombeus","marine; brackish"
"Dicentrarchus labrax","marine; freshwater; brackish; oceanodromous"
"Dicentrarchus punctatus","marine; brackish"
"Dichistius capensis","marine; reef-associated"
"Dicologlossa cuneata","marine; brackish"
"Diodon holocanthus","marine; reef-associated"
"Diplectrum formosum","marine; reef-associated"
"Diplodus annularis","marine; brackish; benthopelagic"
"Diplodus bellottii","marine; benthopelagic"
"Diplodus capensis","marine; reef-associated"
"Diplodus cervinus","marine; reef-associated"
"Diplodus hottentotus","marine; brackish"
"Diplodus puntazzo","marine; brackish; benthopelagic"
"Diplodus sargus cadenati","marine"
"Diplodus sargus sargus","marine; brackish"
"Diplodus vulgaris","marine; benthopelagic"
"Dipturus batis","marine"
"Dipturus innominatus","marine"
"Dipturus laevis","marine"
"Dipturus oxyrinchus","marine"
"Dipturus pullopunctatus","marine"
"Dipturus trachyderma","marine"
"Discherodontus ashmeadi","freshwater"
"Dissostichus eleginoides","marine"
"Dissostichus mawsoni","marine"
"Distichodus rostratus","freshwater"
"Doederleinia berycoides","marine"
"Dolichopteryx longipes","marine"
"Dolloidraco longedorsalis","marine"
"Dormitator latifrons","marine; freshwater; brackish"
"Dorosoma cepedianum","marine; freshwater; brackish"
"Drepane africana","marine; brackish; benthopelagic"
"Drepane punctata","marine; brackish; reef-associated"
